"vector_key","start_lat","start_lon","end_lat","end_lon","length_km","start_polygon_id","end_polygon_id","start_polygon_name","end_polygon_name","country","n_baseline","ndiff_mean","ndiff_med","ndiff_min","ndiff_max","ndiff_std","abs_ndiff_med","pct_chg_mean","pct_chg_med","pct_chg_min","pct_chg_max","pct_chg_std","abs_pct_chg_med","vector_name"
"PAK.4.1_1_PAK.7.6_1",33.6692247086546,73.0666656755683,30.1252386539187,72.2354149605831,401.806010105042,"PAK.4.1_1","PAK.7.6_1","Islamabad","Multan","PK",79.9166666666667,-20.0833333333333,-20.0833333333333,-24.9166666666667,-15.25,6.83536555146996,20.0833333333333,-26.2909097561422,-26.2909097561422,-31.1783107403545,-21.4035087719298,6.91182875662872,26.2909097561422,"Islamabad - Multan"
"PAK.4.1_1_PAK.7.7_1",33.6692247086546,73.0666656755683,33.1952049160209,72.7230655487469,61.6022566904494,"PAK.4.1_1","PAK.7.7_1","Islamabad","Rawalpindi","PK",6668.08333333333,1560.29166666667,1560.29166666667,1406.91666666667,1713.66666666667,216.905005128974,1560.29166666667,20.1523378744799,20.1523378744799,19.2054093430712,21.0992664058887,1.33915917171635,20.1523378744799,"Islamabad - Rawalpindi"
"PAK.4.1_1_PAK.7.8_1",33.6692247086546,73.0666656755683,32.1003867797781,71.8891581019163,206.202794832261,"PAK.4.1_1","PAK.7.8_1","Islamabad","Sargodha","PK",135.140542003939,-24.9036043353029,-24.9036043353029,-25.1666666666667,-24.6405420039392,0.372026316764106,24.9036043353029,-20.2852748305554,-20.2852748305554,-22.3372781065089,-18.233271554602,2.9019708628874,20.2852748305554,"Islamabad - Sargodha"
"PAK.5.1_1_PAK.3.1_1",32.6824702146471,70.7936087143096,33.1700133050442,70.3861612705621,66.2204153268442,"PAK.5.1_1","PAK.3.1_1","Bannu","F.A.T.A.","PK",20.9166666666667,4.58333333333333,4.58333333333333,4.58333333333333,4.58333333333333,,4.58333333333333,21.9123505976096,21.9123505976096,21.9123505976096,21.9123505976096,,21.9123505976096,"Bannu - F.A.T.A."
"PAK.5.1_1_PAK.5.1_1",32.6824702146471,70.7936087143096,32.6824702146471,70.7936087143096,0,"PAK.5.1_1","PAK.5.1_1","Bannu","Bannu","PK",6153.75,-497.25,-497.25,-671.75,-322.75,246.780266634105,497.25,-7.99531013967834,-7.99531013967834,-10.745850829834,-5.24476944952265,3.88985194787723,7.99531013967834,"Bannu - Bannu"
"PAK.5.1_1_PAK.5.2_1",32.6824702146471,70.7936087143096,31.9373404910881,70.6290863322194,84.2850363417916,"PAK.5.1_1","PAK.5.2_1","Bannu","Dera Ismail Khan","PK",21,5.70833333333333,5.70833333333333,-0.583333333333334,12,8.89776032993072,5.70833333333333,27.4313634248488,27.4313634248488,-2.28013029315961,57.1428571428571,42.0183973743705,27.4313634248488,"Bannu - Dera Ismail Khan"
"PAK.5.1_1_PAK.5.5_1",32.6824702146471,70.7936087143096,33.3240386522153,71.2456287788584,82.8615832734852,"PAK.5.1_1","PAK.5.5_1","Bannu","Kohat","PK",25,0.0416666666666661,0.0416666666666661,-0.416666666666668,0.5,0.648181216087669,0.0416666666666661,0.326145552560645,0.326145552560645,-1.34770889487871,2,2.36718766100726,0.326145552560645,"Bannu - Kohat"
"PAK.5.1_1_PAK.5.8_1",32.6824702146471,70.7936087143096,34.0135551823037,71.7920103750481,174.660770958019,"PAK.5.1_1","PAK.5.8_1","Bannu","Peshawar","PK",31.5833333333333,-3.58333333333333,-3.58333333333333,-3.58333333333333,-3.58333333333333,,3.58333333333333,-11.3456464379947,-11.3456464379947,-11.3456464379947,-11.3456464379947,,11.3456464379947,"Bannu - Peshawar"
"PAK.5.2_1_PAK.5.1_1",31.9373404910881,70.6290863322194,32.6824702146471,70.7936087143096,84.2850363417919,"PAK.5.2_1","PAK.5.1_1","Dera Ismail Khan","Bannu","PK",21.3333333333333,0.833333333333334,0.833333333333334,-2.5,4.16666666666667,4.71404520791032,0.833333333333334,5.3796600877193,5.3796600877193,-8.7719298245614,19.53125,20.0133703830897,5.3796600877193,"Dera Ismail Khan - Bannu"
"PAK.5.2_1_PAK.5.2_1",31.9373404910881,70.6290863322194,31.9373404910881,70.6290863322194,0,"PAK.5.2_1","PAK.5.2_1","Dera Ismail Khan","Dera Ismail Khan","PK",8488.08333333333,349.322629650803,349.322629650803,293.916666666667,404.728592634939,78.3558642885072,349.322629650803,4.15711860247747,4.15711860247747,3.46269770364334,4.8515395013116,0.982059453126541,4.15711860247747,"Dera Ismail Khan - Dera Ismail Khan"
"PAK.5.2_1_PAK.7.2_1",31.9373404910881,70.6290863322194,30.0224782853829,70.5493019194425,213.059079809207,"PAK.5.2_1","PAK.7.2_1","Dera Ismail Khan","Dera Ghazi Khan","PK",15.8333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,,0.166666666666667,1.05263157894737,1.05263157894737,1.05263157894737,1.05263157894737,,1.05263157894737,"Dera Ismail Khan - Dera Ghazi Khan"
"PAK.5.2_1_PAK.7.8_1",31.9373404910881,70.6290863322194,32.1003867797781,71.8891581019163,120.173493164531,"PAK.5.2_1","PAK.7.8_1","Dera Ismail Khan","Sargodha","PK",31.25,-1.25,-1.25,-7.75,5.25,9.19238815542512,1.25,-0.357062146892654,-0.357062146892654,-17.5141242937853,16.8,24.2637499786137,0.357062146892654,"Dera Ismail Khan - Sargodha"
"PAK.5.3_1_PAK.5.3_1",32.9323422942606,70.7986144879738,32.9323422942606,70.7986144879738,0,"PAK.5.3_1","PAK.5.3_1","F.A.T.A.","F.A.T.A.","PK",871.833333333333,-116.333333333333,-116.333333333333,-125.333333333333,-107.333333333333,12.7279220613579,116.333333333333,-13.6824724358286,-13.6824724358286,-14.3758363601606,-12.9891085114966,0.980564665450554,13.6824724358286,"F.A.T.A. - F.A.T.A."
"PAK.5.3_1_PAK.5.5_1",32.9323422942606,70.7986144879738,33.3240386522153,71.2456287788584,60.2472322245988,"PAK.5.3_1","PAK.5.5_1","F.A.T.A.","Kohat","PK",13.1666666666667,2.83333333333333,2.83333333333333,2.83333333333333,2.83333333333333,,2.83333333333333,21.5189873417721,21.5189873417721,21.5189873417721,21.5189873417721,,21.5189873417721,"F.A.T.A. - Kohat"
