start_lat,start_lon,end_lat,end_lon,length_km,start_polygon_id,end_polygon_id,start_polygon_name,end_polygon_name,country,date_time,vector_key,n_baseline,n_crisis,n_difference,clipped_z_score,percent_change
29.377445454266713,64.30346882797684,30.87994725044581,68.96663058059505,478.52444604174,PAK.2.4_1,PAK.2.6_1,Quetta,Zhob,PK,2022-08-13,PAK.2.4_1_PAK.2.6_1,45.5,42,-3.5,-0.23005437932525086,-7.6923076923076925
27.43704665264957,68.8807568501547,27.43704665264957,68.8807568501547,0,PAK.8.5_1,PAK.8.5_1,Rann of Kutch,Rann of Kutch,PK,2022-08-13,PAK.8.5_1_PAK.8.5_1,53.33333333333333,36,-17.333333333333332,-1.6006143276938887,-32.5
30.02247828538287,70.54930191944253,30.02247828538287,70.54930191944253,0,PAK.7.2_1,PAK.7.2_1,Dera Ghazi Khan,Dera Ghazi Khan,PK,2022-08-13,PAK.7.2_1_PAK.7.2_1,34982.166666666664,33389,-1593.1666666666658,-0.41558027693599714,-4.554225248102602
30.02247828538287,70.54930191944253,27.03982980235053,69.0210887094943,363.695303770905,PAK.7.2_1,PAK.8.6_1,Dera Ghazi Khan,Sukkur,PK,2022-08-13,PAK.7.2_1_PAK.8.6_1,16.083333333333332,14,-2.083333333333333,-0.20268897548068693,-12.953367875647666
27.03982980235053,69.0210887094943,30.125238653918725,72.23541496058307,464.9319448398873,PAK.8.6_1,PAK.7.6_1,Sukkur,Multan,PK,2022-08-13,PAK.8.6_1_PAK.7.6_1,70.25,42,-28.25,-1.4157928865613671,-40.213523131672595
27.03982980235053,69.0210887094943,28.848917939976857,71.63772667830045,326.3726989517513,PAK.8.6_1,PAK.7.1_1,Sukkur,Bahawalpur,PK,2022-08-13,PAK.8.6_1_PAK.7.1_1,142.33333333333331,117.5,-24.83333333333333,-0.8753731435093255,-17.447306791569087
29.377445454266713,64.30346882797684,27.493773199641932,65.73513763364258,251.92179673920973,PAK.2.4_1,PAK.2.1_1,Quetta,Kalat,PK,2022-08-13,PAK.2.4_1_PAK.2.1_1,53,53,0,-0.006005497670646134,0
33.170013305044215,70.3861612705621,32.68247021464708,70.79360871430961,66.22041532684452,PAK.3.1_1,PAK.5.1_1,F.A.T.A.,Bannu,PK,2022-08-13,PAK.3.1_1_PAK.5.1_1,19.166666666666668,18,-1.1666666666666679,-0.14109278059260275,-6.086956521739136
31.20990508517427,72.62371843417888,31.20990508517427,72.62371843417888,0,PAK.7.3_1,PAK.7.3_1,Faisalabad,Faisalabad,PK,2022-08-13,PAK.7.3_1_PAK.7.3_1,145425.10482280422,145529.5,104.39517719577998,0.08439581509768726,0.07178621416362885
32.10038677977812,71.88915810191632,31.212249025737595,73.94344561103003,218.0752569983912,PAK.7.8_1,PAK.7.5_1,Sargodha,Lahore,PK,2022-08-13,PAK.7.8_1_PAK.7.5_1,194.33333333333331,328.5,134.16666666666669,1.6920936494402754,69.03945111492284
32.10038677977812,71.88915810191632,30.125238653918725,72.23541496058307,222.08625009057255,PAK.7.8_1,PAK.7.6_1,Sargodha,Multan,PK,2022-08-13,PAK.7.8_1_PAK.7.6_1,45.5,37,-8.5,-0.4365365102565345,-18.681318681318682
32.10038677977812,71.88915810191632,33.19520491602086,72.72306554874687,144.6224100381126,PAK.7.8_1,PAK.7.7_1,Sargodha,Rawalpindi,PK,2022-08-13,PAK.7.8_1_PAK.7.7_1,138.58333333333331,142.5,3.9166666666666714,0.08357038120670009,2.82621767889357
32.68247021464708,70.79360871430961,31.93734049108809,70.62908633221942,84.28503634179164,PAK.5.1_1,PAK.5.2_1,Bannu,Dera Ismail Khan,PK,2022-08-13,PAK.5.1_1_PAK.5.2_1,21,33,12,1.2495104797527832,57.14285714285714
27.03982980235053,69.0210887094943,25.222414194595153,69.82002142729421,217.25495540788555,PAK.8.6_1,PAK.8.4_1,Sukkur,Mirpur Khas,PK,2022-08-13,PAK.8.6_1_PAK.8.4_1,52.16666666666667,49,-3.166666666666668,-0.41619035033741686,-6.070287539936104
27.03982980235053,69.0210887094943,25.078783448780808,67.18591128987336,284.8662858618999,PAK.8.6_1,PAK.8.2_1,Sukkur,Karachi,PK,2022-08-13,PAK.8.6_1_PAK.8.2_1,181,181,0,0.1438738648470877,0
33.170013305044215,70.3861612705621,35.69241137190094,72.24693033592979,328.2993949617483,PAK.3.1_1,PAK.5.6_1,F.A.T.A.,Malakand,PK,2022-08-13,PAK.3.1_1_PAK.5.6_1,27.5,25.5,-2,-0.3755830002254327,-7.2727272727272725
30.87994725044581,68.96663058059505,30.87994725044581,68.96663058059505,0,PAK.2.6_1,PAK.2.6_1,Zhob,Zhob,PK,2022-08-13,PAK.2.6_1_PAK.2.6_1,3133.916666666667,3009.5,-124.41666666666674,-0.36493643367202955,-3.9700055840667976
25.222414194595153,69.82002142729421,27.03982980235053,69.0210887094943,217.2549554078855,PAK.8.4_1,PAK.8.6_1,Mirpur Khas,Sukkur,PK,2022-08-13,PAK.8.4_1_PAK.8.6_1,56.16666666666667,49,-7.166666666666668,-0.6008057488759616,-12.759643916913948
25.32310038372032,68.0513634220865,28.848917939976857,71.63772667830045,528.8536114778309,PAK.8.1_1,PAK.7.1_1,Hyderabad,Bahawalpur,PK,2022-08-13,PAK.8.1_1_PAK.7.1_1,30.666666666666664,24,-6.666666666666666,-0.7980671352058807,-21.73913043478261
